0,3489
0,32611
0,20932
0,11605
1,11536
1,12537
1,29693
1,31718
1,13367
2,31545
2,11540
2,23478
2,1335
3,23944
3,32871
3,35255
4,9631
6,5995
6,5981
7,33905
7,35115
7,18420
8,8856
8,27954
8,16372
8,17119
9,13393
9,13538
10,34475
11,6792
11,23668
11,35174
12,12848
12,3553
12,26507
12,14677
12,11054
13,12804
13,4470
13,19479
14,11169
14,8987
14,19653
14,9191
15,5003
16,18424
16,7868
18,1328
18,14114
18,17933
19,33128
19,30729
19,24366
19,30430
20,21904
20,32321
20,20946
20,34916
21,5120
21,24729
21,23858
21,19074
22,29207
22,26117
22,1231
23,11784
23,19828
23,11074
23,32764
23,11213
24,18176
24,8904
24,30786
24,8003
24,30734
25,25161
25,29826
25,26911
26,9034
26,34099
26,15918
26,25903
27,11881
27,16434
27,14812
27,29564
27,25221
28,1835
29,23231
29,29980
29,9919
30,24578
30,10435
30,7100
30,30631
31,28416
31,19835
31,17140
31,9333
32,29633
32,27589
32,8366
33,520
33,20187
34,22160
34,6045
35,99
35,8785
35,14427
35,9470
36,22929
36,11386
36,28883
36,24833
37,15305
37,25711
37,28561
37,28531
37,7676
37,8575
38,10054
38,10830
38,3384
38,17074
38,32758
38,29016
39,939
39,21447
40,16907
40,14773
40,27535
41,5035
41,29885
42,10914
42,668
42,21739
42,20604
42,15965
42,15774
43,4929
43,9037
43,10678
43,33637
44,35465
45,27672
45,13633
45,21548
45,34577
45,31289
46,10596
46,10245
46,11471
46,7248
46,16501
46,20438
46,11484
47,5968
47,1280
47,7507
48,28442
48,23723
49,10914
49,14883
49,12668
51,4061
52,23684
52,30326
53,27702
53,12079
54,13145
54,11395
54,1399
55,1344
56,12164
56,21386
56,10743
56,31639
56,12955
56,12894
57,2176
57,33747
57,16676
58,20296
58,35287
59,20296
59,3065
59,3200
61,24131
61,28067
61,22796
62,9864
63,6497
63,18877
63,11609
63,7009
64,31880
64,33395
64,27870
64,5199
65,7256
65,14628
65,31747
65,13212
66,1266
66,25922
66,5661
66,2133
66,29106
67,6792
67,16497
67,21155
67,24869
67,26335
69,3920
69,27362
69,34730
69,31347
69,13285
70,29464
70,1387
70,26949
70,17447
71,9824
71,13713
71,33263
71,27877
71,19471
72,10391
73,26501
73,7468
73,3021
73,12720
73,16982
73,2457
73,27770
74,22440
74,18760
74,28675
74,33427
74,16307
75,19051
75,27381
76,21521
76,29239
78,33712
78,26225
80,20900
80,28645
80,18966
81,28313
81,34332
82,22279
82,15208
82,26220
82,17390
82,34039
82,33144
83,16866
83,25909
84,21813
84,18502
85,2605
85,4334
86,26744
86,24434
86,27716
86,24815
87,33811
87,35007
88,27552
88,35363
88,17348
88,30600
88,9295
88,22590
89,32203
90,10091
91,6101
91,13166
92,23876
92,6805
92,11558
92,2005
93,31112
93,32439
94,14369
94,10550
95,21136
95,22799
96,33720
97,15648
99,35424
99,19821
99,16351
100,31833
101,4423
101,17493
101,15254
101,12703
102,12160
102,27652
103,2396
103,13886
105,16995
105,34975
106,11241
106,4406
106,26383
107,19400
107,30585
107,15771
107,15573
107,15782
110,7672
110,4768
110,25181
110,29150
